scenario,policy,position,window_index,prompt_id,domain,hits,misses,hit_rate,cumulative_hit_rate
stable,lru,0,0,code_001,code,3386,5818,0.36788352890047804,0.36788352890047804
stable,lru,1,0,code_002,code,2953,5003,0.37116641528406236,0.3694055944055944
stable,lru,2,0,code_003,code,2574,5070,0.336734693877551,0.3593372036768263
stable,lru,3,0,code_004,code,2968,5300,0.358974358974359,0.3592464925012095
stable,lru,4,0,code_005,code,2921,5191,0.36008382642998027,0.3594114219114219
stable,lru,5,0,code_006,code,3055,5213,0.3694968553459119,0.36109763002507483
stable,lru,6,0,code_001,code,3396,5808,0.36897001303780963,0.36233292416803053
stable,lru,7,0,code_002,code,2953,5003,0.37116641528406236,0.3633879781420765
stable,lru,8,0,code_003,code,2574,5070,0.336734693877551,0.36064425770308123
stable,lru,9,0,code_004,code,2968,5300,0.358974358974359,0.3604769521593718
stable,lru,10,0,code_005,code,2921,5191,0.36008382642998027,0.3604417670682731
stable,lru,11,0,code_006,code,3055,5213,0.3694968553459119,0.361198738170347
stable,lru,12,0,code_001,code,3396,5808,0.36897001303780963,0.36186036186036186
stable,lru,13,0,code_002,code,2953,5003,0.37116641528406236,0.36249827681279295
stable,lru,14,0,code_003,code,2574,5070,0.336734693877551,0.360906327804184
stable,lru,15,0,code_004,code,2968,5300,0.358974358974359,0.3607852942959326
stable,lru,16,0,code_005,code,2921,5191,0.36008382642998027,0.3607446747758552
stable,lru,17,0,code_006,code,3055,5213,0.3694968553459119,0.3612324408854377
stable,lru,18,1,code_001,code,3396,5808,0.36897001303780963,0.3616844376745367
stable,lru,19,1,code_002,code,2953,5003,0.37116641528406236,0.3621402160516204
stable,lru,20,1,code_003,code,2574,5070,0.336734693877551,0.361018711018711
stable,lru,21,1,code_004,code,2968,5300,0.358974358974359,0.3609255462221928
stable,lru,22,1,code_005,code,2921,5191,0.36008382642998027,0.3608895220006331
stable,lru,23,1,code_006,code,3055,5213,0.3694968553459119,0.3612492922429831
stable,lru,24,1,code_001,code,3396,5808,0.36897001303780963,0.36159256468224066
stable,lru,25,1,code_002,code,2953,5003,0.37116641528406236,0.3619468944214953
stable,lru,26,1,code_003,code,2574,5070,0.336734693877551,0.36108116363897724
stable,lru,27,1,code_004,code,2968,5300,0.358974358974359,0.36100571725571723
stable,lru,28,1,code_005,code,2921,5191,0.36008382642998027,0.3609744259222066
stable,lru,29,1,code_006,code,3055,5213,0.3694968553459119,0.3612594030575103
stable,lru,30,1,code_001,code,3396,5808,0.36897001303780963,0.36153612202882274
stable,lru,31,1,code_002,code,2953,5003,0.37116641528406236,0.3618258830648211
stable,lru,32,1,code_003,code,2574,5070,0.336734693877551,0.36112091272641733
stable,lru,33,1,code_004,code,2968,5300,0.358974358974359,0.36105760312772
stable,lru,34,1,code_005,code,2921,5191,0.36008382642998027,0.36103021730387874
stable,lru,35,1,code_006,code,3055,5213,0.3694968553459119,0.36126614360052844
stable,lru,36,2,code_001,code,3396,5808,0.36897001303780963,0.3614979275356634
stable,lru,37,2,code_002,code,2953,5003,0.37116641528406236,0.3617430035173574
stable,lru,38,2,code_003,code,2574,5070,0.336734693877551,0.3611484342925391
stable,lru,39,2,code_004,code,2968,5300,0.358974358974359,0.36109392814690827
stable,lru,40,2,code_005,code,2921,5191,0.36008382642998027,0.3610696782441935
stable,lru,41,2,code_006,code,3055,5213,0.3694968553459119,0.3612709582741129
stable,lru,42,2,code_001,code,3396,5808,0.36897001303780963,0.36147036311654396
stable,lru,43,2,code_002,code,2953,5003,0.37116641528406236,0.3616826854267816
stable,lru,44,2,code_003,code,2574,5070,0.336734693877551,0.3611686183174829
stable,lru,45,2,code_004,code,2968,5300,0.358974358974359,0.36112077967281586
stable,lru,46,2,code_005,code,2921,5191,0.36008382642998027,0.36109906337453657
stable,lru,47,2,code_006,code,3055,5213,0.3694968553459119,0.3612745692793011
stable,lru,48,2,code_001,code,3396,5808,0.36897001303780963,0.3614495331258337
stable,lru,49,2,code_002,code,2953,5003,0.37116641528406236,0.3616368199701533
stable,lru,50,2,code_003,code,2574,5070,0.336734693877551,0.3611840540411969
stable,lru,51,2,code_004,code,2968,5300,0.358974358974359,0.36114143619602135
stable,lru,52,2,code_005,code,2921,5191,0.36008382642998027,0.36112179487179485
stable,lru,53,2,code_006,code,3055,5213,0.3694968553459119,0.361277377838892
stable,lru,54,3,code_001,code,3396,5808,0.36897001303780963,0.36143323823612283
stable,lru,55,3,code_002,code,2953,5003,0.37116641528406236,0.3616007684519328
stable,lru,56,3,code_003,code,2574,5070,0.336734693877551,0.3611962406783124
stable,lru,57,3,code_004,code,2968,5300,0.358974358974359,0.3611578198853892
stable,lru,58,3,code_005,code,2921,5191,0.36008382642998027,0.3611399027664668
stable,lru,59,3,code_006,code,3055,5213,0.3694968553459119,0.36127962468656477
stable,lru,60,3,code_001,code,3396,5808,0.36897001303780963,0.3614201427765999
stable,lru,61,3,code_002,code,2953,5003,0.37116641528406236,0.36157168542839274
stable,lru,62,3,code_003,code,2574,5070,0.336734693877551,0.3612061063998583
stable,lru,63,3,code_004,code,2968,5300,0.358974358974359,0.36117113223854796
stable,lru,64,3,code_005,code,2921,5191,0.36008382642998027,0.3611546675029494
stable,lru,65,3,code_006,code,3055,5213,0.3694968553459119,0.3612814630164788
stable,lru,66,3,code_001,code,3396,5808,0.36897001303780963,0.36140938869365263
stable,lru,67,3,code_002,code,2953,5003,0.37116641528406236,0.36154772852020556
stable,lru,68,3,code_003,code,2574,5070,0.336734693877551,0.3612142565790399
stable,lru,69,3,code_004,code,2968,5300,0.358974358974359,0.3611821628853259
stable,lru,70,3,code_005,code,2921,5191,0.36008382642998027,0.36116693668013317
stable,lru,71,3,code_006,code,3055,5213,0.3694968553459119,0.3612829949580738
stable,lru,72,4,code_001,code,3396,5808,0.36897001303780963,0.3614003995831591
stable,lru,73,4,code_002,code,2953,5003,0.37116641528406236,0.36152765221492866
stable,lru,74,4,code_003,code,2574,5070,0.336734693877551,0.36122110289407794
stable,lru,75,4,code_004,code,2968,5300,0.358974358974359,0.3611914521401573
stable,lru,76,4,code_005,code,2921,5191,0.36008382642998027,0.3611772936994176
stable,lru,77,4,code_006,code,3055,5213,0.3694968553459119,0.36128429121634653
stable,lru,78,4,code_001,code,3396,5808,0.36897001303780963,0.3613927738927739
stable,lru,79,4,code_002,code,2953,5003,0.37116641528406236,0.36151058427116095
stable,lru,80,4,code_003,code,2574,5070,0.336734693877551,0.3612269350587108
stable,lru,81,4,code_004,code,2968,5300,0.358974358974359,0.36119938220099773
stable,lru,82,4,code_005,code,2921,5191,0.36008382642998027,0.3611861532614098
stable,lru,83,4,code_006,code,3055,5213,0.3694968553459119,0.361285402294866
stable,lru,84,4,code_001,code,3396,5808,0.36897001303780963,0.3613862232941619
stable,lru,85,4,code_002,code,2953,5003,0.37116641528406236,0.36149589563177953
stable,lru,86,4,code_003,code,2574,5070,0.336734693877551,0.36123196287433834
stable,lru,87,4,code_004,code,2968,5300,0.358974358974359,0.3612062310449407
stable,lru,88,4,code_005,code,2921,5191,0.36008382642998027,0.3611938182333759
stable,lru,89,4,code_006,code,3055,5213,0.3694968553459119,0.3612863652295829
stable,lru,90,5,code_001,code,3396,5808,0.36897001303780963,0.36138053540421633
stable,lru,91,5,code_002,code,2953,5003,0.37116641528406236,0.3614831211953514
stable,lru,92,5,code_003,code,2574,5070,0.336734693877551,0.36123634200557275
stable,lru,93,5,code_004,code,2968,5300,0.358974358974359,0.3612122056857309
stable,lru,94,5,code_005,code,2921,5191,0.36008382642998027,0.36120051496620537
stable,lru,95,5,code_006,code,3055,5213,0.3694968553459119,0.36128720779746015
stable,lru,96,5,code_001,code,3396,5808,0.36897001303780963,0.36137555032507285
stable,lru,97,5,code_002,code,2953,5003,0.37116641528406236,0.361471909667587
stable,lru,98,5,code_003,code,2574,5070,0.336734693877551,0.3612401903837576
stable,lru,99,5,code_004,code,2968,5300,0.358974358974359,0.3612174634600827
stable,lru,100,5,code_005,code,2921,5191,0.36008382642998027,0.3612064160227578
stable,lru,101,5,code_006,code,3055,5213,0.3694968553459119,0.3612879512397048
stable,lru,102,5,code_001,code,3396,5808,0.36897001303780963,0.36137114537444937
stable,lru,103,5,code_002,code,2953,5003,0.37116641528406236,0.36146199075822644
stable,lru,104,5,code_003,code,2574,5070,0.336734693877551,0.3612435989869299
stable,lru,105,5,code_004,code,2968,5300,0.358974358974359,0.3612221260855433
stable,lru,106,5,code_005,code,2921,5191,0.36008382642998027,0.36121165525906374
stable,lru,107,5,code_006,code,3055,5213,0.3694968553459119,0.3612886120772556
stable,lfu,0,0,code_001,code,1899,7305,0.20632333767926989,0.20632333767926989
stable,lfu,1,0,code_002,code,1919,6037,0.24120160884866768,0.2224941724941725
